analysis_level,family,variant_id,row_count,point,ci_lower,ci_upper,cluster_count,bootstrap_replicates,p_value_two_sided,standardized_cluster_effect,maximum_leave_one_cluster_out_influence,holm_adjusted_p_value,multiplicity_family
family,target_deletion,ALL,300,-0.0011006312210040238,-0.002313161140635559,-5.497315320776475e-05,59,10000,0.0542945705429457,-0.245708612279378,0.000408791801665208,0.12148785121487851,family_comparisons
template_variant,target_deletion,0,100,0.0006317015389119189,-0.0006563243506193723,0.0018948805703767875,59,10000,0.34536546345365465,0.1252552494500995,0.00023764958269126523,0.6123387661233877,template_variant_comparisons
template_variant,target_deletion,1,100,-0.0012893670499682563,-0.0031163942710033237,0.00020176204230363374,59,10000,0.1361863813618638,-0.19698840310143997,0.0006214547183585448,0.555944405559444,template_variant_comparisons
template_variant,target_deletion,2,100,-0.002644228151955735,-0.004113302673350604,-0.0013170800310848899,59,10000,9.999000099990002e-05,-0.49005418649430044,0.0003875625111214318,0.0008999100089991002,template_variant_comparisons
family,local_entity_conflict,ALL,300,0.0004639017475437678,-0.000926644946720825,0.0017403725891146527,59,10000,0.52004799520048,0.08814531743142116,0.00035712913595513693,0.52004799520048,family_comparisons
template_variant,local_entity_conflict,0,100,0.001526103937577644,-2.8952180124138973e-05,0.002962267835310046,59,10000,0.05089491050894911,0.2570989300223559,0.00031577779962614,0.3053694630536946,template_variant_comparisons
template_variant,local_entity_conflict,1,100,0.0009319649483314227,-0.00022768955611942131,0.0020227084651773587,59,10000,0.11118888111188881,0.2082630189451867,0.0003045773566861484,0.555944405559444,template_variant_comparisons
template_variant,local_entity_conflict,2,100,-0.0010663636432777632,-0.003137990144973996,0.0008865978690852751,59,10000,0.30616938306169383,-0.1350339558474235,0.0005219761589274634,0.6123387661233877,template_variant_comparisons
family,depth_relation_conflict,ALL,300,-0.00034992743279551176,-0.0006801725489219482,-3.5626613923251104e-05,59,10000,0.040495950404959506,-0.27709228604937236,5.2756968877555816e-05,0.12148785121487851,family_comparisons
template_variant,depth_relation_conflict,0,100,0.0017806367117284842,0.0007914104608337905,0.0028646283882786524,59,10000,0.0010998900109989002,0.4275344953243358,0.00031275670835428557,0.007699230076992301,template_variant_comparisons
template_variant,depth_relation_conflict,1,100,-0.0005972817799894156,-0.0015164568014130904,0.0002655830196484327,59,10000,0.20307969203079693,-0.16849897140468215,0.00020428579887986288,0.6092390760923908,template_variant_comparisons
template_variant,depth_relation_conflict,2,100,-0.002233137230125604,-0.0034549426005067788,-0.0011117811819372206,59,10000,9.999000099990002e-05,-0.4813681378571337,0.00030229126611290677,0.0008999100089991002,template_variant_comparisons
