case_id,mechanism,center_precision,epsilon_siemens,condition_estimate,normalized_residual,residual_threshold,producer_converged,forward_error_inf,declared_tube_radius,certificate_verdict
gmin_1e-5_float32,weak_conductance_conditioning,float32,1.0000000000000001e-05,99999.999999999985,1.0000000000000001e-05,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-5_float64,weak_conductance_conditioning,float64,1.0000000000000001e-05,99999.999999999985,1.0000000000000001e-05,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-6_float32,weak_conductance_conditioning,float32,9.9999999999999995e-07,1000000,9.9999999999999995e-07,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-6_float64,weak_conductance_conditioning,float64,9.9999999999999995e-07,1000000,9.9999999999999995e-07,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-7_float32,weak_conductance_conditioning,float32,9.9999999999999995e-08,10000000,9.9999999999999995e-08,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-7_float64,weak_conductance_conditioning,float64,9.9999999999999995e-08,10000000,9.9999999999999995e-08,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-8_float32,weak_conductance_conditioning,float32,1e-08,100000000,1e-08,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-8_float64,weak_conductance_conditioning,float64,1e-08,100000000,1e-08,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-9_float32,weak_conductance_conditioning,float32,1.0000000000000001e-09,999999999.99999988,1.0000000000000001e-09,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-9_float64,weak_conductance_conditioning,float64,1.0000000000000001e-09,999999999.99999988,1.0000000000000001e-09,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-10_float32,weak_conductance_conditioning,float32,1e-10,10000000000,1e-10,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-10_float64,weak_conductance_conditioning,float64,1e-10,10000000000,1e-10,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-11_float32,weak_conductance_conditioning,float32,9.9999999999999994e-12,100000000000,9.9999999999999994e-12,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-11_float64,weak_conductance_conditioning,float64,9.9999999999999994e-12,100000000000,9.9999999999999994e-12,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-12_float32,weak_conductance_conditioning,float32,9.9999999999999998e-13,1000000000000,9.9999999999999998e-13,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-12_float64,weak_conductance_conditioning,float64,9.9999999999999998e-13,1000000000000,9.9999999999999998e-13,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-13_float32,weak_conductance_conditioning,float32,1e-13,10000000000000,1e-13,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-13_float64,weak_conductance_conditioning,float64,1e-13,10000000000000,1e-13,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-14_float32,weak_conductance_conditioning,float32,1e-14,100000000000000,1e-14,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-14_float64,weak_conductance_conditioning,float64,1e-14,100000000000000,1e-14,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-15_float32,weak_conductance_conditioning,float32,1.0000000000000001e-15,999999999999999.88,1.0000000000000001e-15,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-15_float64,weak_conductance_conditioning,float64,1.0000000000000001e-15,999999999999999.88,1.0000000000000001e-15,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-16_float32,weak_conductance_conditioning,float32,9.9999999999999998e-17,10000000000000000,9.9999999999999998e-17,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
gmin_1e-16_float64,weak_conductance_conditioning,float64,9.9999999999999998e-17,10000000000000000,9.9999999999999998e-17,1.0000000000000001e-05,true,1,0.001,REJECT_ROOT_OUTSIDE_TUBE
