schema_version,case_id,mechanism,run_seed,producer_algorithm,producer_precision,producer_iterations,producer_converged,epsilon_requested,epsilon_used,epsilon_used_hex,condition_estimate,candidate_v0_hex,candidate_v1_hex,producer_residual_inf,producer_residual_threshold,declared_tube_radius,oracle_method,oracle_root_v0,oracle_root_v1,oracle_root_in_tube,oracle_forward_error_inf,checker_method,checker_verdict,checker_inclusion_margin,checker_reason,false_accept
2,gmin_1e-5_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-5,9.9999997473787516e-06,0x1.4f8b580000000p-17,100000.00252621254,0x1.0000000000000p+0,0x0.0p+0,9.9999997473787516e-06,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-5_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-5,1.0000000000000001e-05,0x1.4f8b588e368f1p-17,99999.999999999985,0x1.0000000000000p+0,0x0.0p+0,1.0000000000000001e-05,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-6_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-6,9.9999999747524271e-07,0x1.0c6f7a0000000p-20,1000000.0025247573,0x1.0000000000000p+0,0x0.0p+0,9.9999999747524271e-07,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-6_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-6,9.9999999999999995e-07,0x1.0c6f7a0b5ed8dp-20,1000000,0x1.0000000000000p+0,0x0.0p+0,9.9999999999999995e-07,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-7_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-7,1.0000000116860974e-07,0x1.ad7f2a0000000p-24,9999999.8831390273,0x1.0000000000000p+0,0x0.0p+0,1.0000000116860974e-07,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-7_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-7,9.9999999999999995e-08,0x1.ad7f29abcaf48p-24,10000000,0x1.0000000000000p+0,0x0.0p+0,9.9999999999999995e-08,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-8_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-8,9.9999999392252903e-09,0x1.5798ee0000000p-27,100000000.60774711,0x1.0000000000000p+0,0x0.0p+0,9.9999999392252903e-09,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-8_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-8,1e-08,0x1.5798ee2308c3ap-27,100000000,0x1.0000000000000p+0,0x0.0p+0,1e-08,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-9_float32,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float32,0,true,1e-9,9.9999997171806854e-10,0x1.12e0be0000000p-30,1000000028.2819322,0x1.0000000000000p+0,0x0.0p+0,9.9999997171806854e-10,9.9999997473787516e-06,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
2,gmin_1e-9_float64,weak_conductance_residual_early_stop,17,residual_stopped_diagonal_newton,float64,0,true,1e-9,1.0000000000000001e-09,0x1.12e0be826d695p-30,999999999.99999988,0x1.0000000000000p+0,0x0.0p+0,1.0000000000000001e-09,1.0000000000000001e-05,0.001,exact_fraction_on_declared_binary_system,1,1,false,1,pointwise_krawczyk_midpoint_inverse,UNKNOWN,-0.999,strict Krawczyk inclusion was not established,false
