method,budget_count,metric,estimate,ci_lower,ci_upper
random_topk_100_seeds,1,signed_primary_error_reduction_ratio,0.007397348280926559,-0.0010901641496688077,0.023216998473680816
random_topk_100_seeds,1,signed_absrel_error_reduction_ratio,0.007909234129084805,-0.000784410414034232,0.02374614211157795
random_topk_100_seeds,1,harmful_selection_rate,0.4432500000000001,0.345,0.545
random_topk_100_seeds,1,oracle_regret_ratio,0.8803761031530545,0.6455254875381401,1.0194262831929626
random_topk_100_seeds,1,actual_selection_count,1.0,1.0,1.0
random_topk_100_seeds,1,positive_utility_capture,0.08388887370885573,0.011136770607845181,0.22808425769517493
fixed_spatial_uniform_topk,1,signed_primary_error_reduction_ratio,0.005134433908394248,-0.0002760536963734975,0.011297282013554417
fixed_spatial_uniform_topk,1,signed_absrel_error_reduction_ratio,0.00487011485154762,0.000132526708299778,0.010844859655910434
fixed_spatial_uniform_topk,1,harmful_selection_rate,0.445,0.36,0.525
fixed_spatial_uniform_topk,1,oracle_regret_ratio,0.9169701129513019,0.7864486053395221,1.0042999846526097
fixed_spatial_uniform_topk,1,actual_selection_count,1.0,1.0,1.0
fixed_spatial_uniform_topk,1,positive_utility_capture,0.057273336083985146,0.009149874397733392,0.12452813475010391
rgb_gradient_topk,1,signed_primary_error_reduction_ratio,0.018456057602471595,0.006377526520222688,0.03074142406343734
rgb_gradient_topk,1,signed_absrel_error_reduction_ratio,0.01848179206424394,0.005227751330017258,0.03311013210406767
rgb_gradient_topk,1,harmful_selection_rate,0.45,0.365,0.54
rgb_gradient_topk,1,oracle_regret_ratio,0.7015436549699928,0.5157447164793015,0.8875366289880834
rgb_gradient_topk,1,actual_selection_count,1.0,1.0,1.0
rgb_gradient_topk,1,positive_utility_capture,0.21312844234866993,0.11678624233512555,0.3322403435106292
base_gradient_topk,1,signed_primary_error_reduction_ratio,0.027793393690241662,0.013187236017970656,0.04210016522713511
base_gradient_topk,1,signed_absrel_error_reduction_ratio,0.029246494258146138,0.00973607223185636,0.04836975061879676
base_gradient_topk,1,harmful_selection_rate,0.39,0.295,0.48
base_gradient_topk,1,oracle_regret_ratio,0.550547853965371,0.327964098420293,0.7783785911491415
base_gradient_topk,1,actual_selection_count,1.0,1.0,1.0
base_gradient_topk,1,positive_utility_capture,0.30159633030364985,0.17801837090152453,0.44806072109402706
rgb_base_rank_combination_topk,1,signed_primary_error_reduction_ratio,0.023802059348526385,0.010892932438528112,0.03730707388400821
rgb_base_rank_combination_topk,1,signed_absrel_error_reduction_ratio,0.022545237830322154,0.007010104207551755,0.04053255160837557
rgb_base_rank_combination_topk,1,harmful_selection_rate,0.41,0.325,0.5
rgb_base_rank_combination_topk,1,oracle_regret_ratio,0.6150924650128333,0.41110577406378285,0.8167513740350282
rgb_base_rank_combination_topk,1,actual_selection_count,1.0,1.0,1.0
rgb_base_rank_combination_topk,1,positive_utility_capture,0.276664707512367,0.1645240398052314,0.4354779891175907
oracle_at_most_k_positive,1,signed_primary_error_reduction_ratio,0.06183838242948396,0.043525988138921314,0.07988536751368769
oracle_at_most_k_positive,1,signed_absrel_error_reduction_ratio,0.05559960065512775,0.034310540445316055,0.07399366353606042
oracle_at_most_k_positive,1,harmful_selection_rate,0.0,0.0,0.0
oracle_at_most_k_positive,1,oracle_regret_ratio,0.0,0.0,0.0
oracle_at_most_k_positive,1,actual_selection_count,1.0,1.0,1.0
oracle_at_most_k_positive,1,positive_utility_capture,0.5935419259557594,0.5225297243609762,0.7025873421583958
random_topk_100_seeds,3,signed_primary_error_reduction_ratio,0.021643009246658417,0.003605480205033345,0.04485377298011799
random_topk_100_seeds,3,signed_absrel_error_reduction_ratio,0.02334697722246701,0.004159411415758466,0.04822809526791692
random_topk_100_seeds,3,harmful_selection_rate,0.43870000000000003,0.38333333333333336,0.49333333333333335
random_topk_100_seeds,3,oracle_regret_ratio,0.7759514893112864,0.5742384789997109,0.9601753809235871
random_topk_100_seeds,3,actual_selection_count,3.0,3.0,3.0
random_topk_100_seeds,3,positive_utility_capture,0.24565949490669312,0.09480877457175754,0.4293084207249866
fixed_spatial_uniform_topk,3,signed_primary_error_reduction_ratio,0.02270636812825388,0.009215599050816833,0.03510131473618577
fixed_spatial_uniform_topk,3,signed_absrel_error_reduction_ratio,0.026480318665651897,0.007062307300927228,0.045335090275981024
fixed_spatial_uniform_topk,3,harmful_selection_rate,0.43333333333333335,0.3933333333333333,0.4766666666666667
fixed_spatial_uniform_topk,3,oracle_regret_ratio,0.7649435942892086,0.640396995210654,0.9033850883470279
fixed_spatial_uniform_topk,3,actual_selection_count,3.0,3.0,3.0
fixed_spatial_uniform_topk,3,positive_utility_capture,0.24007059184215368,0.1110633676451628,0.36050773868264435
rgb_gradient_topk,3,signed_primary_error_reduction_ratio,0.04967126028775903,0.020464253080972168,0.07846003996005542
rgb_gradient_topk,3,signed_absrel_error_reduction_ratio,0.05542813941265833,0.016933823332169903,0.09734911855680477
rgb_gradient_topk,3,harmful_selection_rate,0.44,0.36666666666666664,0.515
rgb_gradient_topk,3,oracle_regret_ratio,0.4858029322691308,0.29309414712096193,0.7155905631739874
rgb_gradient_topk,3,actual_selection_count,3.0,3.0,3.0
rgb_gradient_topk,3,positive_utility_capture,0.566897579654653,0.397314541999955,0.736709089097126
base_gradient_topk,3,signed_primary_error_reduction_ratio,0.06538875386865892,0.03825979865937033,0.09086032309741371
