budget_count,method,metric,estimate,ci_lower,ci_upper
1,random_topk_100_seeds,signed_primary_error_reduction_ratio,0.007397348280926559,-0.0010901641496688077,0.023216998473680816
1,fixed_spatial_uniform_topk,signed_primary_error_reduction_ratio,0.005134433908394248,-0.0002760536963734975,0.011297282013554417
1,rgb_gradient_topk,signed_primary_error_reduction_ratio,0.018456057602471595,0.006377526520222688,0.03074142406343734
1,base_gradient_topk,signed_primary_error_reduction_ratio,0.027793393690241662,0.013187236017970656,0.04210016522713511
1,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,0.023802059348526385,0.010892932438528112,0.03730707388400821
1,boosting_mde_edge_density_selector_adapted_to_bar_exact_k,signed_primary_error_reduction_ratio,0.01845700559075021,0.006394013581184975,0.03075726066901826
1,boosting_mde_edge_density_selector_adapted_to_bar_official_threshold,signed_primary_error_reduction_ratio,0.01845700559075021,0.006394013581184975,0.03075726066901826
1,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.06183838242948396,0.043525988138921314,0.07988536751368769
1,replicate_wise_max_non_oracle_envelope,signed_primary_error_reduction_ratio,0.027793393690241662,0.014133701487205403,0.0422338101397433
3,random_topk_100_seeds,signed_primary_error_reduction_ratio,0.021643009246658417,0.003605480205033345,0.04485377298011799
3,fixed_spatial_uniform_topk,signed_primary_error_reduction_ratio,0.02270636812825388,0.009215599050816833,0.03510131473618577
3,rgb_gradient_topk,signed_primary_error_reduction_ratio,0.04967126028775903,0.020464253080972168,0.07846003996005542
3,base_gradient_topk,signed_primary_error_reduction_ratio,0.06538875386865892,0.03825979865937033,0.09086032309741371
3,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,0.06623577885184964,0.03302494691762204,0.09669247957897698
3,boosting_mde_edge_density_selector_adapted_to_bar_exact_k,signed_primary_error_reduction_ratio,0.0509633280164634,0.02172904628126697,0.07925345017301715
3,boosting_mde_edge_density_selector_adapted_to_bar_official_threshold,signed_primary_error_reduction_ratio,0.05096352904809304,0.021729050761739862,0.07925345028733224
3,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.09659965683382109,0.06582805469489891,0.1244957769485321
3,replicate_wise_max_non_oracle_envelope,signed_primary_error_reduction_ratio,0.06623577885184964,0.03923088285357546,0.09688956115086717
6,random_topk_100_seeds,signed_primary_error_reduction_ratio,0.044926408032184034,0.01855623367414818,0.07656358263307986
6,fixed_spatial_uniform_topk,signed_primary_error_reduction_ratio,0.041514110923893684,0.01748560877546955,0.06233172217300602
6,rgb_gradient_topk,signed_primary_error_reduction_ratio,0.07480499571945964,0.038461105448736654,0.10574431993140254
6,base_gradient_topk,signed_primary_error_reduction_ratio,0.08525612553376692,0.04865945843999396,0.11605698883835096
6,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,0.08271823633601169,0.04533496704065058,0.11350120712448568
6,boosting_mde_edge_density_selector_adapted_to_bar_exact_k,signed_primary_error_reduction_ratio,0.07445865418730109,0.03805491477750991,0.10550733240916146
6,boosting_mde_edge_density_selector_adapted_to_bar_official_threshold,signed_primary_error_reduction_ratio,0.06979707193658488,0.03094329046649284,0.10238652102231277
6,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.10352793657911272,0.07021835666307795,0.1314454031746611
6,replicate_wise_max_non_oracle_envelope,signed_primary_error_reduction_ratio,0.08525612553376692,0.04870839631052629,0.1160794707486046
