method,input_size,candidate_status,primary_reduction_ratio,ci_lower,ci_upper,replicate_best_direct_probability
fixed,,REGIONAL_REFERENCE,0.06623577885184964,0.03298923348236259,0.0964590818246109,0.0
oracle,,REGIONAL_REFERENCE,0.09659965683382109,0.06512543344765084,0.1234989691122503,0.0
whole_image_518,518,OK,0.0,0.0,0.0,0.4199
whole_image_574,574,OK,-0.004213936709607267,-0.03901193148682701,0.03586328169820161,0.3257
whole_image_630,630,OK,-0.026220661490976675,-0.06697264121680378,0.008663551288836733,0.0098
whole_image_686,686,OK,-0.051980383496776916,-0.1362246680440266,0.005531197624720868,0.001
whole_image_742,742,OK,-0.06432430309302954,-0.1479686295144764,-0.014924492417362026,0.0
whole_image_798,798,OK,-0.034700588860538936,-0.09789036545724789,0.015121097061773033,0.043
whole_image_854,854,OK,-0.11998091138725078,-0.31619378554214506,-0.00942217813383994,0.0
whole_image_910,910,OK,-0.1213090980728904,-0.327827293276593,-0.001883885194773173,0.0022
whole_image_966,966,OK,-0.09589828505067885,-0.23430406401638165,-0.012113082259861872,0.0
whole_image_1022,1022,OK,-0.1363390714638591,-0.352902201963827,-0.01655457456940593,0.0
whole_image_1078,1078,OK,-0.14894381439738513,-0.34809460176252005,-0.035524222199344535,0.0
whole_image_1134,1134,OK,-0.09375367059604212,-0.22965799023094632,-0.0029845475711386535,0.0017
whole_image_1190,1190,OK,-0.12394306341833962,-0.281725136212979,-0.02823852234341889,0.0
whole_image_1246,1246,OK,-0.142362093568277,-0.3353973190202889,-0.02877664281058447,0.0
whole_image_1302,1302,OK,-0.13247858840132323,-0.3174230166505733,-0.022409684078474185,0.0001
whole_image_1358,1358,OK,-0.13371775280116763,-0.33238527572963716,-0.015144139152749972,0.0
whole_image_1414,1414,OK,-0.1333704811332434,-0.34260934948800137,-0.013347312225954628,0.0
whole_image_1470,1470,OK,-0.12169074210695185,-0.2902109277119812,-0.017657585047613483,0.0
whole_image_1526,1526,OK,-0.14544861932874628,-0.3833178681699694,-0.007784003319725942,0.0
whole_image_1582,1582,OK,-0.14807196738318648,-0.3791183352070437,0.006807529758250979,0.0
whole_image_1638,1638,OK,-0.10254262805234382,-0.27692609876787966,0.018198219957591442,0.0
whole_image_1694,1694,OK,-0.13349315375226006,-0.36714363220988705,0.02417306064073253,0.0
whole_image_1750,1750,OK,-0.08543069323199788,-0.27997289446283163,0.05726005354687284,0.0215
whole_image_1806,1806,OK,-0.10064384200138554,-0.3229724826740804,0.05296609533408394,0.0002
whole_image_1862,1862,OK,-0.08635754418785857,-0.28053301042340123,0.06311352765490968,0.0191
whole_image_1918,1918,OK,-0.09310455624037131,-0.3123106860141417,0.0681768611433568,0.0017
whole_image_1974,1974,OK,-0.08966610406269981,-0.308624354288511,0.07773021242063706,0.0345
whole_image_2030,2030,OK,-0.08024824215997171,-0.30548811882300336,0.08326785568576191,0.1196
