method,input_size,primary_reduction_ratio,ci_lower,ci_upper,p50_milliseconds,p95_milliseconds,latency_feasible
fixed,,0.06623577885184964,0.03298923348236259,0.0964590818246109,2565.7016816549003,3419.237128691748,True
oracle,,0.09659965683382107,0.06512543344765084,0.1234989691122503,2565.7016816549003,3419.237128691748,True
whole_image_518,518,0.0,0.0,0.0,93.22105906903744,229.05198498629036,True
whole_image_574,574,-0.004213936709607263,-0.039011931486827016,0.03586328169820161,92.44184894487262,120.05723472684622,True
whole_image_630,630,-0.02622066149097667,-0.06697264121680377,0.008663551288836733,114.15663780644536,177.2539434488863,True
whole_image_686,686,-0.05198038349677691,-0.1362246680440266,0.005531197624720868,132.59223150089383,167.02860184013844,True
whole_image_742,742,-0.06432430309302953,-0.14796862951447642,-0.014924492417362024,153.52320251986384,226.4637988526375,True
whole_image_798,798,-0.034700588860538936,-0.09789036545724787,0.015121097061773031,175.36464659497142,261.0702048521489,True
whole_image_854,854,-0.1199809113872508,-0.31619378554214506,-0.00942217813383994,233.95864851772785,852.3010476026686,True
whole_image_910,910,-0.12130909807289045,-0.327827293276593,-0.001883885194773173,251.31289195269346,1008.7761486880486,True
whole_image_966,966,-0.09589828505067888,-0.23430406401638165,-0.012113082259861872,271.43674017861485,329.5291868969798,True
whole_image_1022,1022,-0.13633907146385907,-0.352902201963827,-0.016554574569405928,320.09997265413404,680.4558617528542,True
