method,input_size,primary_reduction_ratio,ci_lower,ci_upper,p50_milliseconds,p95_milliseconds,point_latency_feasible,bootstrap_feasibility_probability,bootstrap_best_feasible_probability
fixed,,0.06623577885184964,0.033131244642194704,0.09688106823259325,2565.7016816549003,3419.237128691748,True,1.0,0.0
oracle,,0.09659965683382109,0.06504743319894517,0.12416970757769674,2565.7016816549003,3419.237128691748,True,1.0,0.0
whole_image_518,518,0.0,0.0,0.0,93.22105906903744,229.05198498629036,True,1.0,0.5722
whole_image_574,574,-0.004213936709607267,-0.03881020085722408,0.03580321025542536,92.44184894487262,120.05723472684622,True,1.0,0.3651
whole_image_630,630,-0.026220661490976675,-0.06660288134688447,0.008777676194667523,114.15663780644536,177.2539434488863,True,1.0,0.0125
whole_image_686,686,-0.051980383496776916,-0.13387336905627417,0.005528902234641474,132.59223150089383,167.02860184013844,True,1.0,0.001
whole_image_742,742,-0.06432430309302954,-0.14649203900607236,-0.01483245502081271,153.52320251986384,226.4637988526375,True,1.0,0.0002
whole_image_798,798,-0.034700588860538936,-0.09591768209217637,0.01490252532938183,175.36464659497142,261.0702048521489,True,1.0,0.0429
whole_image_854,854,-0.11998091138725078,-0.3239685330821086,-0.00920318177923728,233.95864851772785,852.3010476026686,True,1.0,0.0002
whole_image_910,910,-0.1213090980728904,-0.33254836544238503,-0.002259914539229783,251.31289195269346,1008.7761486880486,True,1.0,0.0059
whole_image_966,966,-0.09589828505067885,-0.23608773214378911,-0.012055156996315718,271.43674017861485,329.5291868969798,True,1.0,0.0
whole_image_1022,1022,-0.1363390714638591,-0.3575367985808944,-0.015809748785386563,320.09997265413404,680.4558617528542,True,1.0,0.0
