variant,sample_index,domain,scene_id,scan_id,image_relpath,region_id,row,column,x0,y0,x1,y1,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,refined_primary_error_sum,primary_utility_sum,base_absrel_error_sum,refined_absrel_error_sum,absrel_utility_sum,rgb_gradient_score,base_gradient_score,patch_affine_scale,patch_affine_shift,uses_patch_forward
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,20732.629264704912,20972.278828811704,-239.64956410679343,12588.462237983886,12698.542562370789,-110.08032438690363,0.007223521767845352,0.010753160804388272,0.05424246458542864,2.6414011642123794,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,20732.629264704912,20433.17883397462,299.4504307302942,12588.462237983886,12425.339756886828,163.12248109705683,0.007223521767845352,0.010753160804388272,0.05424246458542864,2.6414011642123794,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,20732.629264704912,20755.28740088869,-22.658136183776165,12588.462237983886,12607.69251092088,-19.230272936995892,0.007223521767845352,0.010753160804388272,0.05424246458542864,2.6414011642123794,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,20732.629264704912,20732.242088752544,0.3871759523686613,12588.462237983886,12587.760973965354,0.7012640185320724,0.007223521767845352,0.010753160804388272,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,20732.629264704912,20737.679651438237,-5.050386733325354,12588.462237983886,12589.185424402302,-0.7231864184159296,0.007223521767845352,0.010753160804388272,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,10801.345541822217,10551.792330301207,249.5532115210085,5706.039718989604,5769.605349294761,-63.56563030515767,0.008813551448432034,0.005447431472607767,0.48871614147260295,0.8879864280650395,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,10801.345541822217,9502.948249139841,1298.3972926823749,5706.039718989604,5377.4541645337285,328.5855544558751,0.008813551448432034,0.005447431472607767,0.48871614147260295,0.8879864280650395,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,10801.345541822217,10575.299911619082,226.0456302031323,5706.039718989604,5806.890932542082,-100.85121355247853,0.008813551448432034,0.005447431472607767,0.48871614147260295,0.8879864280650395,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,10801.345541822217,10805.173023160329,-3.8274813381135386,5706.039718989604,5707.091489459734,-1.0517704701294313,0.008813551448432034,0.005447431472607767,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,10801.345541822217,10825.606863098534,-24.26132127631724,5706.039718989604,5712.745969395456,-6.706250405853404,0.008813551448432034,0.005447431472607767,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,14650.271127892702,14679.241058234642,-28.969930341942728,7651.236808749676,7577.316452252651,73.92035649702532,0.011273577415551746,0.004184813348552407,0.10347371642341709,1.4533753419293742,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,14650.271127892702,11954.097858754494,2696.173269138205,7651.236808749676,5095.713819055553,2555.5229896941228,0.011273577415551746,0.004184813348552407,0.10347371642341709,1.4533753419293742,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,14650.271127892702,14666.90514889044,-16.63402099774116,7651.236808749676,7704.829557569379,-53.59274881970266,0.011273577415551746,0.004184813348552407,0.10347371642341709,1.4533753419293742,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,14650.271127892702,14645.517796808648,4.753331084052605,7651.236808749676,7651.149896301323,0.08691244835326997,0.011273577415551746,0.004184813348552407,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,14650.271127892702,14629.242924487371,21.028203405329695,7651.236808749676,7652.361492389116,-1.1246836394391555,0.011273577415551746,0.004184813348552407,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,22805.340183028333,22230.758402662694,574.5817803656421,12223.22162224966,11968.518966809848,254.70265543981446,0.012605063509686416,0.009486787211144519,0.3084452911897827,1.0981630454360898,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,22805.340183028333,20529.410149929783,2275.9300330985525,12223.22162224966,10585.062719117599,1638.1589031320618,0.012605063509686416,0.009486787211144519,0.3084452911897827,1.0981630454360898,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,22805.340183028333,24111.126344673015,-1305.7861616446796,12223.22162224966,12903.427862289356,-680.2062400396926,0.012605063509686416,0.009486787211144519,0.3084452911897827,1.0981630454360898,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,22805.340183028333,22859.519511123155,-54.17932809482107,12223.22162224966,12235.067093330039,-11.845471080376203,0.012605063509686416,0.009486787211144519,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,22805.340183028333,23030.581275497316,-225.24109246898414,12223.22162224966,12284.685854326734,-61.46423207707359,0.012605063509686416,0.009486787211144519,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,15258.80741464026,15321.395034103261,-62.58761946300224,11940.963878161343,11918.95956620948,22.004311951863095,0.009565170190596297,0.009988338955417534,0.45579119949639507,1.7050481343746307,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,15258.80741464026,14294.775836359178,964.0315782810796,11940.963878161343,10931.081097533774,1009.8827806275677,0.009565170190596297,0.009988338955417534,0.45579119949639507,1.7050481343746307,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,15258.80741464026,15562.407747065048,-303.60033242478914,11940.963878161343,11996.012729914582,-55.04885175323882,0.009565170190596297,0.009988338955417534,0.45579119949639507,1.7050481343746307,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,15258.80741464026,15265.911036152098,-7.10362151183859,11940.963878161343,11940.850614312036,0.11326384930645518,0.009565170190596297,0.009988338955417534,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,15258.80741464026,15296.221566709995,-37.41415206973334,11940.963878161343,11940.74150579531,0.2223723660325848,0.009565170190596297,0.009988338955417534,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,12932.763435130102,12870.430278777863,62.33315635223864,8679.344235243807,8674.866531035892,4.47770420791534,0.00797537266225122,0.00428473754504283,0.3905840704582708,0.7477559116604006,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,12932.763435130102,12642.092889804531,290.67054532557256,8679.344235243807,8503.15153564986,176.19269959394694,0.00797537266225122,0.00428473754504283,0.3905840704582708,0.7477559116604006,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,12932.763435130102,12957.878748383162,-25.11531325306079,8679.344235243807,8751.669874220866,-72.32563897706007,0.00797537266225122,0.00428473754504283,0.3905840704582708,0.7477559116604006,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,12932.763435130102,12933.516451184727,-0.7530160546260531,8679.344235243807,8679.61354609373,-0.269310849923555,0.00797537266225122,0.00428473754504283,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,12932.763435130102,12938.074390130245,-5.310955000143868,8679.344235243807,8681.137591952454,-1.793356708646674,0.00797537266225122,0.00428473754504283,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,31504.764606275512,31446.149394273707,58.615212001804814,17910.050828290805,17871.926575236983,38.12425305381996,0.011149062877314516,0.007004176500617485,0.28459307356914504,0.8844529745258505,True
aligned_patch_replacement,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,31504.764606275512,28412.54160009059,3092.223006184922,17910.050828290805,15996.43810710941,1913.612721181392,0.011149062877314516,0.007004176500617485,0.28459307356914504,0.8844529745258505,True
patch_high_frequency_without_base_subtraction,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,31504.764606275512,32624.021461877055,-1119.2568556015433,17910.050828290805,18434.23164584611,-524.1808175553057,0.011149062877314516,0.007004176500617485,0.28459307356914504,0.8844529745258505,True
rgb_guided_bilateral_sharpening,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,31504.764606275512,31518.501364216267,-13.736757940759436,17910.050828290805,17914.073256794094,-4.022428503289095,0.011149062877314516,0.007004176500617485,1.0,0.0,False
base_depth_unsharp_mask,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,31504.764606275512,31605.061095940102,-100.29648966459123,17910.050828290805,17940.047768097083,-29.99693980627971,0.011149062877314516,0.007004176500617485,1.0,0.0,False
highpass_residual,0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,7,1,3,768,256,1024,512,65508,10531,107632.0,70285.09770336087,65924.59107602268,4360.50662733818,41638.89831082765,39679.55261687516,1959.345693952491,0.013144029031475967,0.014046522095038937,0.2299566981874977,0.8677701802674198,True
