variant,selector,metric,estimate,ci_lower,ci_upper
highpass_residual,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,0.06623577885184964,0.032989233482362594,0.09645908182461088
highpass_residual,rgb_base_rank_combination_topk,signed_absrel_error_reduction_ratio,0.06759776988837171,0.02582202122757025,0.10796593653846427
highpass_residual,rgb_base_rank_combination_topk,harmful_selection_rate,0.43333333333333335,0.36333333333333334,0.5033333333333333
highpass_residual,rgb_base_rank_combination_topk,oracle_regret_ratio,0.31432697565588613,0.18056860521286924,0.5327769086715819
highpass_residual,rgb_base_rank_combination_topk,actual_selection_count,3.0,3.0,3.0
highpass_residual,rgb_base_rank_combination_topk,positive_utility_capture,0.7230185711500551,0.569310587534746,0.8469003274173642
highpass_residual,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.09659965683382109,0.06512543344765084,0.12349896911225033
highpass_residual,oracle_at_most_k_positive,signed_absrel_error_reduction_ratio,0.09716368941028768,0.05498071268417394,0.13279401038168487
highpass_residual,oracle_at_most_k_positive,harmful_selection_rate,0.0,0.0,0.0
highpass_residual,oracle_at_most_k_positive,oracle_regret_ratio,0.0,0.0,0.0
highpass_residual,oracle_at_most_k_positive,actual_selection_count,2.96,2.925,2.99
highpass_residual,oracle_at_most_k_positive,positive_utility_capture,0.9271902677789703,0.8830349051270203,0.9752758594755208
highpass_residual,all_12_regions,signed_primary_error_reduction_ratio,0.08837117621610104,0.048820720525590625,0.11918150415824014
highpass_residual,all_12_regions,signed_absrel_error_reduction_ratio,0.09411436199601919,0.04265547754526265,0.1381472902137569
highpass_residual,all_12_regions,harmful_selection_rate,0.4404166666666667,0.40958333333333335,0.47375
highpass_residual,all_12_regions,oracle_regret_ratio,0.15178896876720716,0.07353168616059418,0.3257676635837781
highpass_residual,all_12_regions,actual_selection_count,12.0,12.0,12.0
highpass_residual,all_12_regions,positive_utility_capture,1.0,1.0,1.0
aligned_patch_replacement,rgb_base_rank_combination_topk,signed_primary_error_reduction_ratio,0.061107936462518074,0.01666724137048122,0.10760735548334378
aligned_patch_replacement,rgb_base_rank_combination_topk,signed_absrel_error_reduction_ratio,0.05933036327806787,0.007540347731035137,0.10511831850133181
aligned_patch_replacement,rgb_base_rank_combination_topk,harmful_selection_rate,0.4583333333333333,0.39829166666666704,0.5216666666666666
aligned_patch_replacement,rgb_base_rank_combination_topk,oracle_regret_ratio,0.4838505707784555,0.2749561337553048,0.8174946140661337
aligned_patch_replacement,rgb_base_rank_combination_topk,actual_selection_count,3.0,3.0,3.0
aligned_patch_replacement,rgb_base_rank_combination_topk,positive_utility_capture,0.7973902805202812,0.6584397994104662,0.8837216387834831
aligned_patch_replacement,oracle_at_most_k_positive,signed_primary_error_reduction_ratio,0.11839194815090842,0.08134250837041133,0.15946490833783022
aligned_patch_replacement,oracle_at_most_k_positive,signed_absrel_error_reduction_ratio,0.12397412209956624,0.08015114897337901,0.16146461489171451
aligned_patch_replacement,oracle_at_most_k_positive,harmful_selection_rate,0.0,0.0,0.0
aligned_patch_replacement,oracle_at_most_k_positive,oracle_regret_ratio,0.0,0.0,0.0
aligned_patch_replacement,oracle_at_most_k_positive,actual_selection_count,2.945,2.9,2.985
aligned_patch_replacement,oracle_at_most_k_positive,positive_utility_capture,0.9611390980618576,0.9332012111704847,0.9807957951215615
aligned_patch_replacement,all_12_regions,signed_primary_error_reduction_ratio,0.04102137901683925,-0.011105623759187694,0.09087450478182874
aligned_patch_replacement,all_12_regions,signed_absrel_error_reduction_ratio,0.0480064994844751,-0.016907160646549083,0.09886530639344952
aligned_patch_replacement,all_12_regions,harmful_selection_rate,0.4633333333333333,0.43,0.49626041666666654
aligned_patch_replacement,all_12_regions,oracle_regret_ratio,0.6669769199232831,0.3813888027789472,1.112848466660805
aligned_patch_replacement,all_12_regions,actual_selection_count,12.0,12.0,12.0
