replicate,positive_headroom_ratio,oracle_capture_at_budget,oracle_primary_reduction_ratio,oracle_absrel_relative_degradation,uniform_primary_reduction_ratio,rgb_gradient_capture_at_budget,base_gradient_capture_at_budget,combined_gradient_capture_at_budget
0,0.1433437840306037,0.9407156013483225,0.13484573399389344,-0.1862784574729671,0.11261128595111265,0.7787673187533378,0.8781852480792763,0.8939079761967784
1,0.16474300411167508,0.9383511581469541,0.15458678870479875,-0.21479529276398154,0.14075962967285008,0.8069502927922363,0.885204858744723,0.8950473405974754
2,0.22289675334544595,0.9373296525156699,0.20892773636015782,-0.2957574172464695,0.19793265329733833,0.8149876081784129,0.9053894968960597,0.9054972643484647
3,0.1829637251104463,0.9409857316609946,0.17216625474047442,-0.24575768847782936,0.16255242733979555,0.8329503620141563,0.903363222730129,0.9058050224419936
4,0.13573405157241986,0.8965126270544842,0.12168729115593897,-0.09227816353873468,0.07612151040562849,0.23355960612836124,0.688460258855663,0.7083951705233194
5,0.06393986955049963,0.9041517954490819,0.05781134785486431,-0.04109981478054774,0.02069871638057664,0.27889196242706155,0.5867011588841283,0.6761172057123024
6,0.10079246177376154,0.9039416864868323,0.09111050788093358,-0.06810597898668552,0.04324825087789511,0.2294892877429693,0.6874733465908835,0.7336594655407291
7,0.1319735888734028,0.9488824866571768,0.12522742718326635,-0.18221881924721547,0.10923751008621796,0.8705263772603052,0.894752987269538,0.9058466537987511
8,0.06474615221281267,0.9111810777018788,0.05899546875032054,-0.041830581879406525,0.018848079901590053,0.26190196386989445,0.631502132846335,0.7144219458130656
9,0.21462365515632842,0.941657215474047,0.20210191348937034,-0.29357047095742006,0.1942335425255215,0.8573104569032958,0.9176043713138122,0.9142258331239637
10,0.20608178053055765,0.9430688041908544,0.1943492983304751,-0.2854719147150413,0.18684601911094192,0.8400336820929792,0.9218968516385516,0.9220471570823122
11,0.06960075787269566,0.9150573533699321,0.06368868529153035,-0.04690127780653672,0.02190470124405483,0.26707904571572544,0.6355512200430712,0.6816071140940824
12,0.2395075437379771,0.9303815378838173,0.22283339687771478,-0.3002881757698372,0.21392238447681547,0.7396162332997864,0.8839027618108172,0.883999240960777
13,0.08102818806666866,0.9508746689245102,0.0770476515014465,-0.10672442483778687,0.05219137552192285,0.8552796931029018,0.8387101093572075,0.8890568793717476
14,0.2558861405973923,0.9254902978043469,0.23682014046548558,-0.3053633879370654,0.2217191646607763,0.675491139177302,0.8640872317536707,0.8590932441431258
15,0.1826775996912425,0.9409678097073543,0.1718937408640653,-0.2456296343326085,0.16233764244815427,0.8342633180896769,0.9037716369535601,0.9073245616243042
16,0.24936777671129282,0.9263185888688121,0.2309940070325578,-0.30017927016417667,0.21067288577124688,0.6682445572219322,0.8653907131128521,0.8630007982456595
17,0.4882596815650443,0.8881523340219344,0.43364897579080053,-0.3812526211539847,0.299555548104331,0.21160822324806464,0.7138084869998168,0.692774332115389
18,0.21080819584450222,0.9431214634725618,0.19881773417687734,-0.2924563300606002,0.19512501751159633,0.8778570662464877,0.9240477073009096,0.9229777870980579
19,0.02545837356182022,0.9657008840928165,0.024585173856214976,-0.01733872501083504,-0.02440133487859713,0.4591682700743604,0.36327960655626207,0.4640328704507269
20,0.10224347428296128,0.8942475604547039,0.09143097744995138,-0.06597701037806099,0.05067082254596192,0.2496600972005935,0.6528233790632857,0.7036496345607685
21,0.026950156170489906,0.9743138079074755,0.026257909282171168,-0.018530531905032063,-0.026640434971115845,0.37653138033721645,0.4619040691734006,0.5940288226888703
22,0.20587955929707555,0.9466006195233555,0.19488571837780713,-0.29091111301950534,0.18972611026859817,0.9022277860831034,0.9277371423586217,0.9206195441204795
23,0.02383666166521832,0.9781000883923018,0.02331464088172743,-0.015624982445248774,-0.014776207521769861,0.38431982153611305,0.4351972275197746,0.6326701793039885
24,0.15340352518455616,0.9443697376341734,0.1448696468306966,-0.20949128760912533,0.13375310806406018,0.8637224833071722,0.9026113699799804,0.9134038252821668
25,0.17436287508658194,0.938563687438166,0.16365066299358266,-0.2289315580475355,0.1514576816604987,0.8035914713492643,0.8915871122509785,0.8998090832791347
26,0.08132908291294673,0.9525699578431424,0.0774716410818071,-0.10671988425187529,0.053240533299746644,0.8276759822422964,0.8438425111578874,0.8924439208527013
27,0.1459560244762561,0.9387398854610759,0.13701474169919464,-0.18892436915357408,0.1143458076243938,0.8053553064183003,0.8765414281537509,0.892700490475655
28,0.2038371632213155,0.9464594988803258,0.19292361935563346,-0.29040741220233807,0.19166213799069934,0.9161911718932962,0.9348089793080528,0.9350128937067931
29,0.10356629920017796,0.900879816444919,0.09330078861333588,-0.0694499051955027,0.04457618339796652,0.24100128419535793,0.670004618719804,0.7079097307981653
30,0.07742670417252161,0.9426373819522051,0.07298530571437364,-0.09390955505489375,0.047508536284246956,0.7768827581615103,0.7982962659469668,0.8556774931588784
31,0.17627806055228248,0.9438998485595261,0.16638883465966642,-0.24313185142809077,0.15879061445534096,0.8693748580442577,0.9136232118910059,0.9197912956256538
32,0.12248070978332717,0.983259866621354,0.12043036636524304,-0.14178562525795546,0.042701174329696084,0.13359843664020965,0.8832899516603829,0.7607536993124857
33,0.03382652895661685,0.9264976410218699,0.03134019928226349,-0.0206705301024658,-0.005597698952935461,0.3611876295702841,0.4633046224737568,0.6314910538750736
34,0.2108913228380597,0.9229915265785238,0.19465090400846502,-0.20472668917702844,0.08704965020678194,0.16446406656755325,0.8094202879925599,0.7804571664022701
35,0.14546703158450075,0.9398879412157372,0.13672270883072102,-0.18821255823346617,0.11732053409443148,0.7873566391970925,0.8751469137011081,0.8879018266210164
36,0.1829667439519934,0.9442142176938736,0.1727598010046267,-0.254083023204319,0.16638179250679783,0.8846732023204839,0.9184393643407314,0.923242389645468
37,0.19454109377265663,0.948570584024202,0.18453595893663594,-0.2801494563039171,0.1757301945019002,0.8798085026636306,0.9347059071705984,0.9349648780378699
38,0.12360168611076165,0.9856851565686675,0.12183234732623739,-0.1473051675850918,-0.025146439920012396,0.1300987221819781,0.8761518941930678,0.7519915086077216
39,0.01698616318200451,0.9770371819758432,0.01659611300792751,-0.009414580360914,-0.020028994534722826,0.4984295701837217,0.23113393822842876,0.5964951226711706
40,0.21250865082297388,0.9393409992979761,0.19961808842351694,-0.2857055489820853,0.18299334094858338,0.7898204227966953,0.9094261419327653,0.9095325460423217
41,0.06745382365733599,0.9138022098082105,0.061639453118086975,-0.04509780745079686,0.019244511037777738,0.2631621706904756,0.6307445528773954,0.6938716611935937
42,0.06345806998634886,0.9035459708096046,0.05733728345151941,-0.04009419299732796,0.010611362869719337,0.28142614389061577,0.5927221061352862,0.6827362259577728
43,0.12986220670199902,0.9496647485584431,0.12332555987489847,-0.18000147126758545,0.10613845238511148,0.8626341099853483,0.9008788175353682,0.9153596994039758
44,0.13004889475113351,0.949870908500607,0.12352966180675899,-0.18040949361572178,0.10439596446017814,0.8611130808312548,0.8994503942446606,0.9137543005418244
45,0.20900108251353086,0.9426434650072029,0.19701350461081105,-0.28820159289380964,0.18910397523748948,0.84466762689139,0.9198672951149517,0.9182753969018418
46,0.22110825565334327,0.9380404033240861,0.20740847731134726,-0.29364037365589724,0.20024679809516313,0.8040803852255168,0.9043218594757089,0.9011742476962025
47,0.23237867610762514,0.9151643315622178,0.21266467578934786,-0.21940452315051304,0.10707460380624158,0.16777351258771075,0.7930595041615442,0.7771416031994289
48,0.1010405279759652,0.9490519016827851,0.09589270522262243,-0.13546757577643925,0.07678487613439626,0.8698317453335004,0.8626718534925722,0.887238426276769
49,0.2150609210720365,0.9417298474573669,0.20252928839520976,-0.2937937038833652,0.19886414125103638,0.8553711176723358,0.9172137036504875,0.912055913174598
50,0.23196280265524827,0.9337086156913837,0.2165856673591255,-0.2983227894683953,0.20849122663829156,0.7728566150875956,0.8929751737699853,0.891569855648334
51,0.17483139387613916,0.9386641931585096,0.16410796927152374,-0.22925796536679835,0.15028270420367243,0.8013116476166517,0.8905018599992528,0.89708370610734
52,0.13365834810915037,0.9480181085130671,0.12671053436141783,-0.18389505095895833,0.1146491021391746,0.8845054812615981,0.8948904684128756,0.9023407242520344
53,0.15817035560073928,0.9329996156846029,0.14757288098818674,-0.1941173826451538,0.12828998762123184,0.7217275425344734,0.8589565709672491,0.8729276383101603
54,0.1765622160664187,0.9381891387491818,0.1656487534270003,-0.230733799407433,0.15483295364172653,0.8059820807347358,0.8890701366593955,0.8941066531469244
55,0.09977323416739262,0.9489832497355633,0.09468312799679958,-0.13461488262244567,0.07484101314074819,0.8781502899667394,0.8639110796109757,0.8958503711032967
56,0.3374319408858924,0.894874628178647,0.3019592826358622,-0.2902103983366016,0.2188993665895572,0.18828098267102603,0.7561383857518642,0.7561370649225672
57,0.13818578801703843,0.9434561427302482,0.13037223054269487,-0.18507239070036494,0.11398329742254729,0.8411050905319415,0.8872032663734588,0.9044081513911921
58,0.06570232134945815,0.9057471409036958,0.059509689713007574,-0.04202875911967717,0.010452522776465686,0.2852966024338989,0.6017300727709649,0.6707934941898941
59,0.13164062149224992,0.9477838972605854,0.12476686127573021,-0.1825327273477735,0.11203570725393495,0.8968552629344623,0.8982399185571649,0.9150996139272694
60,0.20188366908600655,0.9477926067260971,0.19134384897845494,-0.28653761929647353,0.17666998484313234,0.8835351257582914,0.930818344895599,0.9199075815960784
61,0.2010379265035028,0.9477492832843982,0.1905335507566763,-0.28612310167147237,0.17882117562926583,0.8867861863324152,0.9306464552973215,0.9234263891369031
62,0.25461788844067423,0.9250900926464442,0.2355444860070253,-0.3047595130411051,0.21596644023974718,0.6797896184523011,0.8657335730453131,0.8658170585327962
63,0.4830907342481,0.8923569660302597,0.431089381930965,-0.3816084289688378,0.34085916525874316,0.21736405845874257,0.7104911393130471,0.6705109732224214
64,0.08384593793605678,0.9007085215310751,0.07552075079477198,-0.05421943067524651,0.03394079910860875,0.25416780723895627,0.6441900548960092,0.7072461369205605
65,0.14526058706018014,0.9398583455492445,0.1365243750278929,-0.1879878610631688,0.11551899359180301,0.7892719462047912,0.877414670804974,0.8900815826393733
66,0.04060650880418194,0.9160191438041362,0.03719633942768186,-0.02445801996384371,-0.00011870825214806836,0.33167274375119715,0.5154954623511079,0.6633796586909603
67,0.16047726110349766,0.9321453218623222,0.14958812820290374,-0.19594538721270557,0.1303788963261291,0.7296531089731025,0.8568622195178881,0.8681770896259887
68,0.07039125120305532,0.9518071254764869,0.0669988944662734,-0.0899820727178065,0.042388698880470116,0.8355157666311299,0.8105615337316564,0.8677583366877867
69,0.1576839583401672,0.9476394257420264,0.14942753573020567,-0.22221871688211217,0.14059512011051756,0.8995402881608521,0.9177158359063655,0.9272994011944363
70,0.1988440448934338,0.947475126729987,0.18839978663490942,-0.28504548461306894,0.18060785594104778,0.8993901330560505,0.9366330278959217,0.9368345570521142
71,0.15408762808257714,0.9440175551956302,0.14546142594840802,-0.2102066376287218,0.13412285304266303,0.868336205008111,0.9014753429812821,0.9123744743511785
72,0.1445927857014872,0.939716823841913,0.13587627332985594,-0.18753322373669584,0.11409720769872872,0.7922311744927344,0.8778196486927873,0.8937673488017576
73,0.0815979904767943,0.9508201361486682,0.07758501241460329,-0.10712510458781514,0.053614019185887755,0.850615866229281,0.8373446855417829,0.8840874219169427
74,0.492383730090844,0.8844377376091244,0.4354827522770878,-0.3788695138864845,0.14659113468771387,0.20283196461222774,0.7081973967829325,0.7090318327615651
75,0.02056527725868581,0.9819835971506063,0.02019476493888385,-0.012291964973985544,-0.021141092029265594,0.3973997908761066,0.4012336218070443,0.687830442602516
76,0.15892267350712228,0.9331444321242663,0.1482978079214738,-0.19463807157650936,0.12755119012374222,0.7182212707855302,0.8569156240767564,0.8681507694776913
77,0.2229565953489981,0.9373290826816871,0.2089837009963085,-0.2958078744194914,0.20028483768603722,0.814991548225508,0.9053940563099827,0.9055004785871505
78,0.06390810577398884,0.9038938116487361,0.057766141323301365,-0.04008408309411006,0.019525025351404043,0.2844172082784414,0.5998522626934123,0.6830478471601219
79,0.15808481469778643,0.9476488633094047,0.14980889495483518,-0.22240903949649463,0.13613304531380205,0.8974571024881074,0.9174143583092694,0.9251009215389087
80,0.20387124864228337,0.9464663873736818,0.19295728419182356,-0.2903007037989326,0.1870613399547817,0.9147862179172118,0.9333004540690972,0.9335787011403861
81,0.19928050735217354,0.947547001793688,0.18882764725747703,-0.2854402023351881,0.18538308281230728,0.8980532987038498,0.9365289182746045,0.9353954414499293
82,0.06867855021680111,0.9198857552440615,0.06317642003524929,-0.04700951543044225,0.012484399382267714,0.24618857944010775,0.6588443648663079,0.717621800405288
83,0.21146615113906114,0.9420921163896938,0.19922059387138097,-0.29069439162043526,0.1917734518705686,0.8525598732179299,0.9196687037978765,0.918063505727517
84,0.16789096534512368,0.9422738090495155,0.15819925942074992,-0.22714562024252716,0.14613094583734512,0.8534242751845481,0.9023930970347552,0.9095722865648281
85,0.19546324959459627,0.9486083051986938,0.1854180619265592,-0.2806900512580995,0.17682898118846882,0.8766176505571697,0.9348503125718869,0.9313687195568539
86,0.09958742946278895,0.9355599960392629,0.0931700151137672,-0.1169246405515896,0.066140047495204,0.711938978783361,0.8150693639235772,0.8542108562499132
87,0.10995811460428498,0.9419384553544197,0.10357377662404445,-0.13910324357290785,0.07870736844465338,0.772156834562107,0.8535983133630684,0.8836357785641431
88,0.12246463003471296,0.9334977588776708,0.11432045767918765,-0.1463434662609883,0.0912116766050045,0.7238615675205435,0.8335297029880036,0.8580599697717196
89,0.1311173340748419,0.9846048214056861,0.1290987592999494,-0.16458862509024585,0.01502177257569729,0.11927766857165054,0.7882139541837947,0.6784566475518141
90,0.06537730834111834,0.9052490071214307,0.05918274346406901,-0.04134407328393194,0.016122067671623285,0.2868862737197254,0.6050507070957003,0.6745178679449048
91,0.07065478484948831,0.9098339163625316,0.06428411960936202,-0.04679178873520025,0.02429347264179248,0.28965075098420967,0.6103601621559779,0.6426617360999425
92,0.20279165325465082,0.9468572017130623,0.1920147373314643,-0.2889649751707247,0.1895552208866441,0.907782562161241,0.9351401699383602,0.9327523618055602
93,0.14537563021190636,0.9399152986055992,0.13664077888060114,-0.18815553811418695,0.11982991219992464,0.7884853752354273,0.8765410854250564,0.8891917618577924
94,0.019883693038133317,0.9694709376336884,0.019276662533299547,-0.012907789587658536,-0.01809359295878693,0.48479540734406285,0.23621785030510142,0.49112784541835347
95,0.12198846712664105,0.9344509035866139,0.11399223333363567,-0.1459945958511126,0.09147275709763898,0.7133223809345434,0.8345149943937887,0.8587221677429644
96,0.1336869847858052,0.9480188264952046,0.12673777843432132,-0.18392892635975766,0.11188797074795219,0.884509204515706,0.8948923782427184,0.902342931028693
97,0.11246977739949339,0.9483696776497226,0.1066629265376936,-0.15421817305321814,0.08877244119982297,0.8923784857565853,0.8831003111399653,0.9104978473571987
98,0.22640450625524605,0.9380559533456153,0.21238009495700816,-0.2973172905894133,0.20205764201886842,0.7980585453424153,0.8980869678600176,0.8854130542723112
99,0.21922195061721692,0.9386414175090727,0.2057708024764484,-0.29121540461948137,0.19638139109708572,0.7931819179497166,0.9027310734342564,0.896575068022718
100,0.04371815076214242,0.9233669732039717,0.04036789654331435,-0.0277071696963778,0.0017773184044596378,0.31040391751245444,0.5535211844352694,0.672724608562672
101,0.16429897337078556,0.9437962204644671,0.15506475009353954,-0.2233507118661023,0.14143974432944786,0.8307080288072225,0.9036522891291198,0.9106977874557431
102,0.4972502492349467,0.8855220109617625,0.44032604065376757,-0.3867567257763857,0.33952711418569376,0.2117384522030571,0.7231310551667587,0.7086796986429801
103,0.06653863645190379,0.9184985648336284,0.06111564208706018,-0.04495436104854038,0.006996766583123047,0.2421840920246102,0.6557406708627094,0.7317919830265524
104,0.49979423278127155,0.8841658269901036,0.4419009811519373,-0.3873473261618386,0.3164354177519027,0.2090646260772981,0.7228134000455577,0.7155936646153357
105,0.1097874719245043,0.9428991012305078,0.1035185086039847,-0.1389761784028286,0.0780452255491268,0.7589951516839436,0.8535502719701658,0.8831067325677108
106,0.20958115264194885,0.9405598351520736,0.19712361437989298,-0.2818293069115696,0.17663688235632574,0.7700797003471773,0.907431446951455,0.901403749830873
107,0.4002481667629513,0.8889486147595154,0.35580005340396104,-0.3298345904479724,0.22355409776144242,0.19726763896555843,0.742466019481876,0.7424614438165649
108,0.14553724002834237,0.9400271728694968,0.13680896029107203,-0.18842817921119487,0.11886983279874519,0.7869064620192981,0.8747944907465627,0.8874115612791532
109,0.26823414335294415,0.9066952583940865,0.24320662591751413,-0.2463358629660291,0.12094300875484601,0.16937961673721807,0.7621920796445935,0.7624740346529977
110,0.18435384695761406,0.9222587285416457,0.1700219444968903,-0.20703761935868695,0.14597205451510464,0.6300161862952665,0.8319389267497331,0.8434544319134705
111,0.10980241508467378,0.9913691093939189,0.10885472245179445,-0.13217906584102712,-0.0071278809769647926,0.08838539936483307,0.9022384942413075,0.8282415991371471
112,0.2022805889353286,0.9470675579448185,0.1915733833826213,-0.28824301156395155,0.18766848765398086,0.9033730370477989,0.9350162691689755,0.9313550466307267
113,0.018130349936919928,0.9722205549803289,0.01762669887765986,-0.011347934511169368,-0.018443227205278936,0.5020258293962286,0.19551718513440353,0.5089717796643635
114,0.06387205139675846,0.9037129995323601,0.057722003154049656,-0.040771349244560086,0.014293618234635857,0.27957067977544764,0.587365033755614,0.6772636967778466
115,0.2110232812755499,0.9420391413168248,0.1987921906906778,-0.29056800963310786,0.1910445429431842,0.8551928603722307,0.9209039720162056,0.9210228845118867
116,0.3370511480743158,0.8956865674860421,0.30189218588591366,-0.29027348348289644,0.2038983497619673,0.18647198988061886,0.7472297338165461,0.747603031775293
117,0.37675905314771807,0.8912945879679202,0.3358033050384791,-0.31569812327818975,0.2534659805774277,0.19347873710942148,0.7441201730058702,0.7442505822852703
118,0.1483826063371384,0.9391925105449294,0.13935983256697695,-0.1906655825148344,0.12131510579361711,0.7931050912432008,0.8716977747722559,0.8782055750632355
119,0.2702030804745952,0.9064936248965099,0.24493736987761913,-0.2465541955667138,0.13250588134846342,0.17625448206865668,0.7745483901387854,0.7656509595621034
120,0.08113173843349032,0.950898186879018,0.07714802297474868,-0.10689161350868227,0.054976808131076804,0.8537011077117189,0.8371061489612669,0.8874161675168601
121,0.14260163046090255,0.9417269478282834,0.13429179820928253,-0.18525043469400576,0.10737539477482753,0.7656420118628746,0.8811978976266128,0.8934717656640138
122,0.39919594683731496,0.8891361365763634,0.3549395419078735,-0.3283877412467328,0.22391154711608582,0.19659044024779979,0.7383245032039475,0.738756708402272
123,0.20304785188853497,0.9466863002942415,0.1922226196870503,-0.28952800323921635,0.19041900239441725,0.9123967954555974,0.9355814660940631,0.9349723509801496
124,0.1765909703953939,0.9381829166248616,0.16567463165516524,-0.23074544254929058,0.1548659237912533,0.805681994501379,0.8887030095456397,0.8937700820400191
125,0.16710635619298747,0.9428736166629724,0.157560174431053,-0.22616427066962794,0.14605310883728495,0.8434432404132797,0.9020345321348668,0.9074000810943029
126,0.08156706196683881,0.9509150574653904,0.0775633474174796,-0.10714246850504816,0.05352599084356056,0.8510095484335299,0.8378692853921619,0.8845052689808997
127,0.025429358606284362,0.9846680382582038,0.025039476653014398,-0.016865101626533315,-0.02088125252678723,0.30848552868344786,0.5249468054276144,0.7433736891211639
