sample_index,domain,scene_id,scan_id,image_relpath,region_id,row,column,x0,y0,x1,y1,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,refined_primary_error_sum,primary_utility_sum,base_absrel_error_sum,refined_absrel_error_sum,absrel_utility_sum,rgb_gradient_score,base_gradient_score,patch_affine_scale,patch_affine_shift
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,11250.368123864298,11265.645564033659,-15.27744016935824,4364.057669545047,4388.4067587932295,-24.349089248181723,0.007223521767845352,0.010753160804388272,0.05424246458542864,2.6414011642123794
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,5975.881954802065,5884.393535274839,91.48841952722509,2002.509534095147,2002.1883187714973,0.3212153236496986,0.008813551448432034,0.005447431472607767,0.48871614147260295,0.8879864280650395
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,6734.25947141962,6791.771042830896,-57.5115714112744,2646.7513913289986,2678.426097137544,-31.674705808545404,0.011273577415551746,0.004184813348552407,0.10347371642341709,1.4533753419293742
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,8569.810329121807,8543.418716528895,26.391612592909876,4262.606826771615,4249.796362011572,12.810464760043722,0.012605063509686416,0.009486787211144519,0.3084452911897827,1.0981630454360898
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,5396.776507221768,5273.204481697716,123.57202552405252,2790.725420556718,2780.8362592309586,9.889161325758907,0.009565170190596297,0.009988338955417534,0.45579119949639507,1.7050481343746307
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,3940.432155901533,3914.325392647266,26.106763254266678,2055.7846663534974,2050.8056805189744,4.978985834522965,0.00797537266225122,0.00428473754504283,0.3905840704582708,0.7477559116604006
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,5455.242939846905,5467.567562329959,-12.32462248305417,2268.8152108510226,2274.838273096877,-6.023062245854231,0.011149062877314516,0.007004176500617485,0.28459307356914504,0.8844529745258505
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,7,1,3,768,256,1024,512,65508,10531,107632.0,8426.591650709335,8011.114314448551,415.4773362607833,3609.1380309309016,3431.5892392302862,177.54879170061514,0.013144029031475967,0.014046522095038937,0.2299566981874977,0.8677701802674198
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,8,2,0,0,512,256,768,65535,3907,81163.0,2453.4502348139804,2421.886981357914,31.563253456066995,990.6018338622581,985.1350702551597,5.466763607098409,0.017049323452122216,0.008935675515251344,0.4344825361292604,2.246223614819513
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,9,2,1,256,512,512,768,65535,888,69087.0,1649.0857582993247,1644.2549239727723,4.830834326552224,1246.1893138039468,1241.9036959327718,4.285617871175046,0.00948214468960067,0.004419346318751709,0.3013390258891687,1.70911121561327
