sample_index,domain,scene_id,scan_id,image_relpath,region_id,row,column,x0,y0,x1,y1,valid_pixel_count,boundary_pixel_count,weight_sum,base_primary_error_sum,refined_primary_error_sum,primary_utility_sum,base_absrel_error_sum,refined_absrel_error_sum,absrel_utility_sum,rgb_gradient_score,base_gradient_score,patch_affine_scale,patch_affine_shift
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,0,0,0,0,0,256,256,65501,11870,112981.0,20732.629264704912,20972.278828811704,-239.64956410679343,12588.462237983886,12698.542562370789,-110.08032438690363,0.007223521767845352,0.010753160804388272,0.05424246458542864,2.6414011642123794
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,1,0,1,256,0,512,256,65530,7606,95954.0,10801.345541822217,10551.792330301207,249.5532115210085,5706.039718989604,5769.605349294761,-63.56563030515767,0.008813551448432034,0.005447431472607767,0.48871614147260295,0.8879864280650395
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,2,0,2,512,0,768,256,65534,8631,100058.0,14650.271127892702,14679.241058234642,-28.969930341942728,7651.236808749676,7577.316452252651,73.92035649702532,0.011273577415551746,0.004184813348552407,0.10347371642341709,1.4533753419293742
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,3,0,3,768,0,1024,256,65530,10881,109054.0,22805.340183028333,22230.758402662694,574.5817803656421,12223.22162224966,11968.518966809848,254.70265543981446,0.012605063509686416,0.009486787211144519,0.3084452911897827,1.0981630454360898
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,4,1,0,0,256,256,512,65536,4576,83840.0,15258.80741464026,15321.395034103261,-62.58761946300224,11940.963878161343,11918.95956620948,22.004311951863095,0.009565170190596297,0.009988338955417534,0.45579119949639507,1.7050481343746307
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,5,1,1,256,256,512,512,65513,3418,79185.0,12932.763435130102,12870.430278777863,62.33315635223864,8679.344235243807,8674.866531035892,4.47770420791534,0.00797537266225122,0.00428473754504283,0.3905840704582708,0.7477559116604006
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,6,1,2,512,256,768,512,65536,9242,102504.0,31504.764606275512,31446.149394273707,58.615212001804814,17910.050828290805,17871.926575236983,38.12425305381996,0.011149062877314516,0.007004176500617485,0.28459307356914504,0.8844529745258505
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,7,1,3,768,256,1024,512,65508,10531,107632.0,70285.09770336087,65924.59107602268,4360.50662733818,41638.89831082765,39679.55261687516,1959.345693952491,0.013144029031475967,0.014046522095038937,0.2299566981874977,0.8677701802674198
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,8,2,0,0,512,256,768,65535,3907,81163.0,23925.888491755795,23983.31169184568,-57.42320008988597,19283.884051960624,19309.7061442258,-25.82209226517618,0.017049323452122216,0.008935675515251344,0.4344825361292604,2.246223614819513
0,indoors,scene_00019,indoors/scene_00019/scan_00183,val/indoors/scene_00019/scan_00183/00019_00183_indoors_000_040.png,9,2,1,256,512,512,768,65535,888,69087.0,13113.720009822213,13107.153294860982,6.566714961231638,12326.613184301554,12318.167405498822,8.445778802732683,0.00948214468960067,0.004419346318751709,0.3013390258891687,1.70911121561327
