sample_index,domain,scene_id,scan_id,budget_count,raw_topk_region_ids,normalized_topk_region_ids,top_k_set_jaccard,kendall_tau_b,selected_set_disagreement,zero_weight_region_count,base_primary_error_sum,raw_selected_utility_sum,normalized_selected_raw_utility_sum
0,indoors,scene_00019,indoors/scene_00019/scan_00183,1,7,7,1.0,0.9696969696969697,0.0,0,263486.1422873223,4360.50662733818,4360.50662733818
0,indoors,scene_00019,indoors/scene_00019/scan_00183,3,7;3;1,7;3;1,1.0,0.9696969696969697,0.0,0,263486.1422873223,5184.641619224831,5184.641619224831
0,indoors,scene_00019,indoors/scene_00019/scan_00183,6,7;3;1;5;6;9,7;3;1;5;6;9,1.0,0.9696969696969697,0.0,0,263486.1422873223,5312.156702540106,5312.156702540106
1,indoors,scene_00019,indoors/scene_00019/scan_00183,1,2,2,1.0,1.0,0.0,0,432126.64092610043,1235.429914687396,1235.429914687396
1,indoors,scene_00019,indoors/scene_00019/scan_00183,3,2;3;6,2;3;6,1.0,1.0,0.0,0,432126.64092610043,1874.5905575408187,1874.5905575408187
1,indoors,scene_00019,indoors/scene_00019/scan_00183,6,2;3;6;7;9;5,2;3;6;7;9;5,1.0,1.0,0.0,0,432126.64092610043,1994.5020277348854,1994.5020277348854
2,indoors,scene_00019,indoors/scene_00019/scan_00183,1,10,10,1.0,0.9696969696969697,0.0,0,307378.8268752569,1918.544649538666,1918.544649538666
2,indoors,scene_00019,indoors/scene_00019/scan_00183,3,10;11;9,10;11;9,1.0,0.9696969696969697,0.0,0,307378.8268752569,4726.575913794179,4726.575913794179
2,indoors,scene_00019,indoors/scene_00019/scan_00183,6,10;11;9;3;2;4,10;11;9;3;2;4,1.0,0.9696969696969697,0.0,0,307378.8268752569,4975.253850717603,4975.253850717603
3,indoors,scene_00019,indoors/scene_00019/scan_00183,1,2,2,1.0,0.9696969696969697,0.0,0,497278.5584692758,1172.8517013276892,1172.8517013276892
3,indoors,scene_00019,indoors/scene_00019/scan_00183,3,2;6;4,2;6;4,1.0,0.9696969696969697,0.0,0,497278.5584692758,1829.3796787773679,1829.3796787773679
3,indoors,scene_00019,indoors/scene_00019/scan_00183,6,2;6;4;7;8;10,2;6;4;7;8;9,0.7142857142857143,0.9696969696969697,1.0,0,497278.5584692758,1895.1768930200874,1892.3724531329556
4,indoors,scene_00019,indoors/scene_00019/scan_00183,1,5,4,0.0,0.9090909090909091,1.0,0,319044.8208653767,168.22489641969165,154.72415174179184
4,indoors,scene_00019,indoors/scene_00019/scan_00183,3,5;4;3,4;5;3,1.0,0.9090909090909091,0.0,0,319044.8208653767,382.91372328772843,382.91372328772843
4,indoors,scene_00019,indoors/scene_00019/scan_00183,6,5;4;3;7;2;1,4;5;3;7;2;1,1.0,0.9090909090909091,0.0,0,319044.8208653767,384.2474769832514,384.2474769832514
5,indoors,scene_00019,indoors/scene_00019/scan_00183,1,5,5,1.0,0.9696969696969697,0.0,0,333786.4340209197,80.97200146936714,80.97200146936714
5,indoors,scene_00019,indoors/scene_00019/scan_00183,3,5;1;3,5;1;3,1.0,0.9696969696969697,0.0,0,333786.4340209197,173.69389484484017,173.69389484484017
5,indoors,scene_00019,indoors/scene_00019/scan_00183,6,5;1;3;7;6;8,5;1;3;7;6;8,1.0,0.9696969696969697,0.0,0,333786.4340209197,73.27649543734654,73.27649543734654
6,indoors,scene_00019,indoors/scene_00019/scan_00183,1,0,0,1.0,0.9696969696969697,0.0,0,1269711.9965333187,38739.05842863518,38739.05842863518
6,indoors,scene_00019,indoors/scene_00019/scan_00183,3,0;1;7,0;1;7,1.0,0.9696969696969697,0.0,0,1269711.9965333187,46659.066213370075,46659.066213370075
6,indoors,scene_00019,indoors/scene_00019/scan_00183,6,0;1;7;6;2;3,0;1;7;2;6;3,1.0,0.9696969696969697,0.0,0,1269711.9965333187,49726.729376999116,49726.729376999116
7,indoors,scene_00019,indoors/scene_00019/scan_00183,1,5,5,1.0,0.9393939393939394,0.0,0,283964.8581877496,2137.253913253233,2137.253913253233
7,indoors,scene_00019,indoors/scene_00019/scan_00183,3,5;4;11,5;4;11,1.0,0.9393939393939394,0.0,0,283964.8581877496,2145.8661242161597,2145.8661242161597
7,indoors,scene_00019,indoors/scene_00019/scan_00183,6,5;4;11;7;0;3,5;4;11;0;7;3,1.0,0.9393939393939394,0.0,0,283964.8581877496,1565.8256680907032,1565.8256680907032
8,indoors,scene_00019,indoors/scene_00019/scan_00183,1,7,7,1.0,1.0,0.0,0,788962.5173845686,1328.2049574628024,1328.2049574628024
8,indoors,scene_00019,indoors/scene_00019/scan_00183,3,7;2;6,7;2;6,1.0,1.0,0.0,0,788962.5173845686,2069.7653529260406,2069.7653529260406
8,indoors,scene_00019,indoors/scene_00019/scan_00183,6,7;2;6;5;1;0,7;2;6;5;1;0,1.0,1.0,0.0,0,788962.5173845686,2398.767702652226,2398.767702652226
9,indoors,scene_00019,indoors/scene_00019/scan_00183,1,11,11,1.0,0.9696969696969697,0.0,0,347533.56491660705,277.89695211856775,277.89695211856775
9,indoors,scene_00019,indoors/scene_00019/scan_00183,3,11;5;4,11;5;4,1.0,0.9696969696969697,0.0,0,347533.56491660705,516.557076696337,516.557076696337
9,indoors,scene_00019,indoors/scene_00019/scan_00183,6,11;5;4;0;9;7,11;5;4;0;7;9,1.0,0.9696969696969697,0.0,0,347533.56491660705,438.90716078693123,438.90716078693123
10,indoors,scene_00020,indoors/scene_00020/scan_00184,1,7,3,0.0,0.9393939393939394,1.0,0,1838856.9443986118,780134.5216156055,619358.9309184193
10,indoors,scene_00020,indoors/scene_00020/scan_00184,3,7;3;2,3;7;8,0.5,0.9393939393939394,1.0,0,1838856.9443986118,1400162.8197380335,1400137.854127036
10,indoors,scene_00020,indoors/scene_00020/scan_00184,6,7;3;2;8;10;0,3;7;8;2;10;0,1.0,0.9393939393939394,0.0,0,1838856.9443986118,1401484.874210797,1401484.874210797
11,indoors,scene_00020,indoors/scene_00020/scan_00184,1,9,9,1.0,0.9090909090909091,0.0,0,404975.88751046744,4565.441248111301,4565.441248111301
11,indoors,scene_00020,indoors/scene_00020/scan_00184,3,9;7;3,9;5;7,0.5,0.9090909090909091,1.0,0,404975.88751046744,6741.081506002622,6724.583063080321
11,indoors,scene_00020,indoors/scene_00020/scan_00184,6,9;7;3;5;10;0,9;5;7;3;10;0,1.0,0.9090909090909091,0.0,0,404975.88751046744,8256.31592765147,8256.31592765147
12,indoors,scene_00020,indoors/scene_00020/scan_00184,1,3,3,1.0,1.0,0.0,0,407683.0446394273,1700.476114972989,1700.476114972989
12,indoors,scene_00020,indoors/scene_00020/scan_00184,3,3;10;4,3;10;4,1.0,1.0,0.0,0,407683.0446394273,2582.731521785559,2582.731521785559
12,indoors,scene_00020,indoors/scene_00020/scan_00184,6,3;10;4;8;2;0,3;10;4;8;2;0,1.0,1.0,0.0,0,407683.0446394273,2695.018114522417,2695.018114522417
13,indoors,scene_00020,indoors/scene_00020/scan_00184,1,11,11,1.0,0.9696969696969697,0.0,0,362404.28974309156,758.9885239059452,758.9885239059452
13,indoors,scene_00020,indoors/scene_00020/scan_00184,3,11;9;7,11;9;7,1.0,0.9696969696969697,0.0,0,362404.28974309156,1293.875438602127,1293.875438602127
13,indoors,scene_00020,indoors/scene_00020/scan_00184,6,11;9;7;3;1;4,11;9;7;1;3;4,1.0,0.9696969696969697,0.0,0,362404.28974309156,1454.7182529993513,1454.7182529993513
14,indoors,scene_00020,indoors/scene_00020/scan_00184,1,0,7,0.0,0.9090909090909091,1.0,0,347735.55883869785,32.71612371011625,25.793216065154226
14,indoors,scene_00020,indoors/scene_00020/scan_00184,3,0;7;1,7;0;11,0.5,0.9090909090909091,1.0,0,347735.55883869785,67.1833438144934,65.57225353047546
14,indoors,scene_00020,indoors/scene_00020/scan_00184,6,0;7;1;11;5;6,7;0;11;1;5;6,1.0,0.9090909090909091,0.0,0,347735.55883869785,72.0503166926867,72.0503166926867
15,indoors,scene_00020,indoors/scene_00020/scan_00184,1,4,4,1.0,0.9696969696969697,0.0,0,291537.5162577207,4111.464373919522,4111.464373919522
15,indoors,scene_00020,indoors/scene_00020/scan_00184,3,4;1;5,4;1;5,1.0,0.9696969696969697,0.0,0,291537.5162577207,5228.204261199221,5228.204261199221
15,indoors,scene_00020,indoors/scene_00020/scan_00184,6,4;1;5;9;3;7,4;1;5;9;3;7,1.0,0.9696969696969697,0.0,0,291537.5162577207,5432.645416329092,5432.645416329092
16,indoors,scene_00020,indoors/scene_00020/scan_00184,1,1,1,1.0,0.9696969696969697,0.0,0,461282.6745452656,27734.89756149248,27734.89756149248
16,indoors,scene_00020,indoors/scene_00020/scan_00184,3,1;0;3,1;0;3,1.0,0.9696969696969697,0.0,0,461282.6745452656,27741.15507739842,27741.15507739842
16,indoors,scene_00020,indoors/scene_00020/scan_00184,6,1;0;3;7;10;11,1;0;3;7;10;4,0.7142857142857143,0.9696969696969697,1.0,0,461282.6745452656,27416.950589005504,27350.47740259524
17,indoors,scene_00020,indoors/scene_00020/scan_00184,1,7,7,1.0,1.0,0.0,0,308973.5778442219,6811.353172543117,6811.353172543117
17,indoors,scene_00020,indoors/scene_00020/scan_00184,3,7;11;10,7;11;10,1.0,1.0,0.0,0,308973.5778442219,8569.256721174652,8569.256721174652
17,indoors,scene_00020,indoors/scene_00020/scan_00184,6,7;11;10;0;6;1,7;11;10;0;6;1,1.0,1.0,0.0,0,308973.5778442219,8993.378007260962,8993.378007260962
18,indoors,scene_00020,indoors/scene_00020/scan_00184,1,11,11,1.0,0.9090909090909091,0.0,0,341403.0432597881,1220.451168786853,1220.451168786853
18,indoors,scene_00020,indoors/scene_00020/scan_00184,3,11;6;2,11;6;3,0.5,0.9090909090909091,1.0,0,341403.0432597881,2091.8223242611684,1995.1075718357213
18,indoors,scene_00020,indoors/scene_00020/scan_00184,6,11;6;2;3;7;10,11;6;3;2;10;1,0.7142857142857143,0.9090909090909091,1.0,0,341403.0432597881,2567.3334673641775,2544.694709336304
19,indoors,scene_00020,indoors/scene_00020/scan_00184,1,5,5,1.0,1.0,0.0,0,414157.71572397917,89.04129898948419,89.04129898948419
19,indoors,scene_00020,indoors/scene_00020/scan_00184,3,5;10;9,5;10;9,1.0,1.0,0.0,0,414157.71572397917,203.22747902087812,203.22747902087812
19,indoors,scene_00020,indoors/scene_00020/scan_00184,6,5;10;9;6;3;1,5;10;9;6;3;1,1.0,1.0,0.0,0,414157.71572397917,243.61406491005783,243.61406491005783
20,indoors,scene_00020,indoors/scene_00020/scan_00185,1,3,3,1.0,1.0,0.0,0,4030609.16843727,985273.0154413301,985273.0154413301
20,indoors,scene_00020,indoors/scene_00020/scan_00185,3,3;1;6,3;1;6,1.0,1.0,0.0,0,4030609.16843727,995826.3026792483,995826.3026792483
20,indoors,scene_00020,indoors/scene_00020/scan_00185,6,3;1;6;9;0;4,3;1;6;9;0;4,1.0,1.0,0.0,0,4030609.16843727,997226.5717765385,997226.5717765385
21,indoors,scene_00020,indoors/scene_00020/scan_00185,1,9,9,1.0,1.0,0.0,0,290455.52057873574,3068.349201546051,3068.349201546051
21,indoors,scene_00020,indoors/scene_00020/scan_00185,3,9;10;11,9;10;11,1.0,1.0,0.0,0,290455.52057873574,6763.699950862567,6763.699950862567
21,indoors,scene_00020,indoors/scene_00020/scan_00185,6,9;10;11;8;2;4,9;10;11;8;2;4,1.0,1.0,0.0,0,290455.52057873574,7095.133363388525,7095.133363388525
22,indoors,scene_00020,indoors/scene_00020/scan_00185,1,10,10,1.0,0.9090909090909091,0.0,0,372238.4431808466,3759.900864981356,3759.900864981356
22,indoors,scene_00020,indoors/scene_00020/scan_00185,3,10;8;6,10;8;1,0.5,0.9090909090909091,1.0,0,372238.4431808466,6231.498880551302,5907.87594893089
22,indoors,scene_00020,indoors/scene_00020/scan_00185,6,10;8;6;11;5;1,10;8;1;6;11;5,1.0,0.9090909090909091,0.0,0,372238.4431808466,8333.84420129255,8333.844201292552
23,indoors,scene_00020,indoors/scene_00020/scan_00185,1,9,9,1.0,0.9696969696969697,0.0,0,268501.5029997853,1571.250599117414,1571.250599117414
23,indoors,scene_00020,indoors/scene_00020/scan_00185,3,9;4;8,9;8;4,1.0,0.9696969696969697,0.0,0,268501.5029997853,3575.842961047425,3575.842961047425
23,indoors,scene_00020,indoors/scene_00020/scan_00185,6,9;4;8;1;11;6,9;8;4;1;11;6,1.0,0.9696969696969697,0.0,0,268501.5029997853,4681.650244990649,4681.650244990649
24,indoors,scene_00020,indoors/scene_00020/scan_00185,1,0,0,1.0,0.9696969696969697,0.0,0,491535.9257250029,571.2954559306281,571.2954559306281
24,indoors,scene_00020,indoors/scene_00020/scan_00185,3,0;6;5,0;6;5,1.0,0.9696969696969697,0.0,0,491535.9257250029,1027.0338029880138,1027.0338029880138
24,indoors,scene_00020,indoors/scene_00020/scan_00185,6,0;6;5;11;1;2,0;6;5;11;1;2,1.0,0.9696969696969697,0.0,0,491535.9257250029,1050.9416503785174,1050.9416503785174
25,indoors,scene_00020,indoors/scene_00020/scan_00185,1,6,6,1.0,1.0,0.0,0,322098.0057096129,224.42376800066165,224.42376800066165
25,indoors,scene_00020,indoors/scene_00020/scan_00185,3,6;1;8,6;1;8,1.0,1.0,0.0,0,322098.0057096129,359.62115889371825,359.62115889371825
25,indoors,scene_00020,indoors/scene_00020/scan_00185,6,6;1;8;11;0;4,6;1;8;11;0;4,1.0,1.0,0.0,0,322098.0057096129,414.04659391420313,414.04659391420313
26,indoors,scene_00020,indoors/scene_00020/scan_00185,1,2,2,1.0,1.0,0.0,0,277796.41800741357,4598.78456483007,4598.78456483007
26,indoors,scene_00020,indoors/scene_00020/scan_00185,3,2;3;6,2;3;6,1.0,1.0,0.0,0,277796.41800741357,6321.44304723588,6321.44304723588
26,indoors,scene_00020,indoors/scene_00020/scan_00185,6,2;3;6;7;0;1,2;3;6;7;0;1,1.0,1.0,0.0,0,277796.41800741357,6644.546058049729,6644.546058049729
27,indoors,scene_00020,indoors/scene_00020/scan_00185,1,4,4,1.0,0.9696969696969697,0.0,0,245464.90642212058,1736.9209888490182,1736.9209888490182
27,indoors,scene_00020,indoors/scene_00020/scan_00185,3,4;10;8,4;10;8,1.0,0.9696969696969697,0.0,0,245464.90642212058,2572.2640201334384,2572.2640201334384
27,indoors,scene_00020,indoors/scene_00020/scan_00185,6,4;10;8;7;3;11,4;10;8;7;3;11,1.0,0.9696969696969697,0.0,0,245464.90642212058,2618.692215520817,2618.692215520817
28,indoors,scene_00020,indoors/scene_00020/scan_00185,1,9,9,1.0,1.0,0.0,0,315010.96481999225,7571.968953660055,7571.968953660055
28,indoors,scene_00020,indoors/scene_00020/scan_00185,3,9;8;10,9;8;10,1.0,1.0,0.0,0,315010.96481999225,8456.858526259413,8456.858526259413
28,indoors,scene_00020,indoors/scene_00020/scan_00185,6,9;8;10;6;7;1,9;8;10;6;7;1,1.0,1.0,0.0,0,315010.96481999225,8540.179316936077,8540.179316936077
29,indoors,scene_00020,indoors/scene_00020/scan_00185,1,9,9,1.0,0.9393939393939394,0.0,0,775010.9767898244,29439.645805154945,29439.645805154945
29,indoors,scene_00020,indoors/scene_00020/scan_00185,3,9;8;0,9;8;1,0.5,0.9393939393939394,1.0,0,775010.9767898244,39954.711589978404,39943.886456368484
29,indoors,scene_00020,indoors/scene_00020/scan_00185,6,9;8;0;1;11;7,9;8;1;11;0;7,1.0,0.9393939393939394,0.0,0,775010.9767898244,40182.588655263964,40182.588655263964
30,indoors,scene_00020,indoors/scene_00020/scan_00186,1,0,0,1.0,0.9393939393939394,0.0,0,354438.9117850935,991.0207616347468,991.0207616347468
30,indoors,scene_00020,indoors/scene_00020/scan_00186,3,0;4;7,0;4;7,1.0,0.9393939393939394,0.0,0,354438.9117850935,1200.2062140449302,1200.2062140449302
30,indoors,scene_00020,indoors/scene_00020/scan_00186,6,0;4;7;2;1;3,0;4;7;2;1;3,1.0,0.9393939393939394,0.0,0,354438.9117850935,1164.4703659420761,1164.4703659420761
31,indoors,scene_00020,indoors/scene_00020/scan_00186,1,4,4,1.0,1.0,0.0,0,825667.280753852,7622.119162540219,7622.119162540219
31,indoors,scene_00020,indoors/scene_00020/scan_00186,3,4;0;9,4;0;9,1.0,1.0,0.0,0,825667.280753852,15410.221297208045,15410.221297208045
31,indoors,scene_00020,indoors/scene_00020/scan_00186,6,4;0;9;6;11;10,4;0;9;6;11;10,1.0,1.0,0.0,0,825667.280753852,16867.04685475649,16867.04685475649
32,indoors,scene_00020,indoors/scene_00020/scan_00186,1,2,2,1.0,1.0,0.0,0,9067567.574329792,2119088.1454431107,2119088.1454431107
32,indoors,scene_00020,indoors/scene_00020/scan_00186,3,2;1;3,2;1;3,1.0,1.0,0.0,0,9067567.574329792,3526622.1142459973,3526622.1142459973
32,indoors,scene_00020,indoors/scene_00020/scan_00186,6,2;1;3;6;5;11,2;1;3;6;5;11,1.0,1.0,0.0,0,9067567.574329792,3526837.90565604,3526837.90565604
33,indoors,scene_00020,indoors/scene_00020/scan_00186,1,10,10,1.0,0.9393939393939394,0.0,0,7150251.089903791,410258.16160639195,410258.16160639195
33,indoors,scene_00020,indoors/scene_00020/scan_00186,3,10;6;7,10;7;6,1.0,0.9393939393939394,0.0,0,7150251.089903791,421252.50000245945,421252.50000245945
